,Sim,Step,Firm,Agent Type,Market,Capital,Rev,Fix Cost,Var Cost,Entry Cost,In Market,Price,Quantity,Market Number
0,0,0,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
1,0,1,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
2,0,2,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
3,0,3,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
4,0,4,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
5,0,5,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
6,0,6,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
7,0,7,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
8,0,8,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
9,0,9,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
10,0,10,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
11,0,11,0,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
12,0,0,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
13,0,1,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
14,0,2,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
15,0,3,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
16,0,4,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
17,0,5,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
18,0,6,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
19,0,7,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
20,0,8,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
21,0,9,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
22,0,10,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
23,0,11,0,Placeholder for agent info; Fill this in!,1,1000,0,0,0,0,0,0,0,Market # Placeholder
24,0,0,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
25,0,1,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
26,0,2,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
27,0,3,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
28,0,4,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
29,0,5,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
30,0,6,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
31,0,7,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
32,0,8,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
33,0,9,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
34,0,10,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
35,0,11,0,Placeholder for agent info; Fill this in!,2,1000,0,0,0,0,0,0,0,Market # Placeholder
36,0,0,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
37,0,1,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
38,0,2,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
39,0,3,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
40,0,4,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
41,0,5,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
42,0,6,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
43,0,7,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
44,0,8,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
45,0,9,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
46,0,10,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
47,0,11,0,Placeholder for agent info; Fill this in!,3,1000,0,0,0,0,0,0,0,Market # Placeholder
48,0,0,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
49,0,1,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
50,0,2,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
51,0,3,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
52,0,4,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
53,0,5,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
54,0,6,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
55,0,7,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
56,0,8,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
57,0,9,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
58,0,10,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
59,0,11,0,Placeholder for agent info; Fill this in!,4,1000,0,0,0,0,0,0,0,Market # Placeholder
60,0,0,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
61,0,1,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
62,0,2,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
63,0,3,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
64,0,4,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
65,0,5,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
66,0,6,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
67,0,7,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
68,0,8,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
69,0,9,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
70,0,10,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
71,0,11,0,Placeholder for agent info; Fill this in!,5,1000,0,0,0,0,0,0,0,Market # Placeholder
72,0,0,1,Placeholder for agent info; Fill this in!,0,1000,0,0,0,0,0,0,0,Market # Placeholder
73,0,1,1,Placeholder for agent info; Fill this in!,0,nan,0,0,0,0,0,0,0,Market # Placeholder
74,0,2,1,Placeholder for agent info; Fill this in!,0,nan,0,0,0,0,0,0,0,Market # Placeholder
75,0,3,1,Placeholder for agent info; Fill this in!,0,nan,0,0,0,0,0,0,0,Market # Placeholder
76,0,4,1,Placeholder for agent info; Fill this in!,0,nan,0,0,0,0,0,0,0,Market # Placeholder
77,0,5,1,Placeholder for agent info; Fill this in!,0,nan,0,0,0,0,0,0,0,Market # Placeholder
78,0,6,1,Placeholder for agent info; Fill this in!,0,nan,0,0,0,0,0,0,0,Market # Placeholder
79,0,7,1,Placeholder for agent info; Fill this in!,0,nan,0,0,0,0,0,0,0,Market # Placeholder
80,0,8,1,Placeholder for agent info; Fill this in!,0,nan,0,0,0,0,0,0,0,Market # Placeholder
81,0,9,1,Placeholder for agent info; Fill this in!,0,nan,0,0,0,0,0,0,0,Market # Placeholder
82,0,10,1,Placeholder for agent info; Fill this in!,0,nan,0,0,0,0,0,0,0,Market # Placeholder
83,0,11,1,Placeholder for agent info; Fill this in!,0,nan,0,0,0,0,0,0,0,Market # Placeholder
84,0,0,1,Placeholder for agent info; Fill this in!,1,0,0,0,0,0,0,0,0,Market # Placeholder
85,0,1,1,Placeholder for agent info; Fill this in!,1,0,0,0,0,0,0,0,0,Market # Placeholder
86,0,2,1,Placeholder for agent info; Fill this in!,1,0,0,0,0,0,0,0,0,Market # Placeholder
87,0,3,1,Placeholder for agent info; Fill this in!,1,0,0,0,0,0,0,0,0,Market # Placeholder
88,0,4,1,Placeholder for agent info; Fill this in!,1,0,0,0,0,0,0,0,0,Market # Placeholder
89,0,5,1,Placeholder for agent info; Fill this in!,1,0,0,0,0,0,0,0,0,Market # Placeholder
90,0,6,1,Placeholder for agent info; Fill this in!,1,nan,0,0,0,0,0,0,0,Market # Placeholder
91,0,7,1,Placeholder for agent info; Fill this in!,1,nan,0,0,0,0,0,0,0,Market # Placeholder
92,0,8,1,Placeholder for agent info; Fill this in!,1,nan,0,0,0,0,0,0,0,Market # Placeholder
93,0,9,1,Placeholder for agent info; Fill this in!,1,nan,0,0,0,0,0,0,0,Market # Placeholder
94,0,10,1,Placeholder for agent info; Fill this in!,1,nan,0,0,0,0,0,0,0,Market # Placeholder
95,0,11,1,Placeholder for agent info; Fill this in!,1,nan,0,0,0,0,0,0,0,Market # Placeholder
96,0,0,1,Placeholder for agent info; Fill this in!,2,0,0,0,0,0,0,0,0,Market # Placeholder
97,0,1,1,Placeholder for agent info; Fill this in!,2,0,0,0,0,0,0,0,0,Market # Placeholder
